pubchem_id,common_name,flavor_profile,foodb_matched,foodb_food_id,macronutrients_json,moisture_content
7151,Methyl Nicotinate,tobacco@herbal@warm,True,16.0,{},
5282726,4-Decenoic acid,,True,268.0,{},
7144,2-Methoxy-4-Methylphenol,phenolic@clove@leather@smoky@bacon@medical@mesquite@carnation@medicinal@bitter@vanilla@spice,True,137.0,{},
5321950,Tiglic aldehyde,ethereal@anisic@fruit@pungent@fruity@nutty@green,True,175.0,{},
5284507,Nerolidol,citrus@wax@waxy@floral@woody@wood@flower@green,True,184.0,{},
9256,Thiazole,nutty@pyridine@meaty,True,85.0,{},
8091,Methyl octanoate,orange@vegetable@herbal@waxy@sweet@aldehydic@green,True,175.0,{},
135,4-Hydroxybenzoic Acid,nutty@phenolic,True,85.0,{},
5283316,(E)-Hept-2-enal,soap@vegetable@fat@fresh@fatty@pungent@almond@green,True,457.0,{},
61712,4-Ethylsyringol,,True,58.0,{},
15606,Methyl Nonanoate,coconut@wine@waxy@sweet@fruity@tropical@pear,True,175.0,{},
445639,oleic acid,lard@fat@waxy@fatty@fried@faint,True,175.0,{},
7469,4'-Hydroxyacetophenone,mild@sweet@balsam@hawthorn@mimosa,True,161.0,{},
17100,alpha-TERPINEOL,,True,175.0,{},
643820,nerol,neroli@natural@citrus@sweet@magnolia@bitter,True,184.0,{},
5284421,Methyl Linoleate,,True,33.0,{},
31249,Diethyl Succinate,peach@chocolate@apple@apricot@mild@wine@grape@musty@fruit@fruity@cranberry@pear@ylang@cooked,True,105.0,{},
5367531,"(2E,4E)-Undeca-2,4-dienal",caramellic@spicy,True,85.0,{},
7795,Isoamyl butyrate,hop_oil@apricot@whiskey@banana@tropica@papaya@melon@fruity@pear@green,True,643.0,{},
20083,Octan-2-ol,fat@herbal@fresh@earthy@woody@mushroom@spicy@green,True,21.0,{},
10558,Isobutyl mercaptan,mustard@vegetable@cooked,True,150.0,{},
16617,Isopentyl hexanoate,apple@pineapple@banana@fruity@green,True,83.0,{},
222656,L-Malic acid,odorless,True,49.0,{},
5283349,"(2E,4E)-deca-2,4-dienal",citrus@orange@nut@wax@meat@fat@fresh@fatty@oily@cucumber@sweet@melon@pumpkin@fried@green,True,42.0,{},
7799,Ethyl Octanoate,apricot@fat@wine@waxy@banana@brandy@fruit@sweet@fruity@pear,True,101.0,{},
61030,Octyl butyrate,jasmin@waxy@fresh@oily@earthy@creamy@fruity@natural@green,True,129.0,{},
12613,Isoamyl Isovalerate,apple@jammy@ripe@sweet@fruity@tropical@mango@green,True,113.0,{},
7193,Isopentyl benzoate,sweet@waxy@balsamic@green,True,645.0,{},
8025,Ethyl Formate,alcohol@rose@pungent@cognac@green@ethereal@bitter,True,881.0,{},
17525,Hexyl Butyrate,apple@apple peel@waxy@sweet@fruity@soapy@green,True,38.0,{},
16821,gamma-Dodecalactone,peach@fatty@musty@fruit@sweet@fruity@metallic@flower,True,332.0,{},
8052,Isopentyl formate,blackcurrant@ethereal@vinous@green@earthy@fruit@plum@dry,True,645.0,{},
264,butyric acid,butter@sweat@acetic@sharp@rancid@fruit@cheese,True,129.0,{},
753,glycerol,odorless@sweet,True,101.0,{},
5362583,Ethyl trans-4-decenoate,cognac@fruity@waxy@green,True,268.0,{},
639665,Xanthohumol,bitter,True,268.0,{},
3314,eugenol,clove@sweet@woody@honey@spicy@cinnamon,True,101.0,{},
8129,1-Heptanol,leafy@coconut@herbal@peony@strawberry@chemical@musty@sweet@woody@violet@green,True,575.0,{},
7945,Ethyl Isovalerate,apple@pineapple@tutti frutti@fruit@sweet@fruity,True,83.0,{},
10976,2-Heptanol,lemon@mushroom@sweet@floral@green@herbal@fresh@grass@bitter@fruity,True,175.0,{},
643139,3-Hexenal,leafy@apple@stem@tomato@melon@fruity@natural@green,True,101.0,{},
7655,Phenethyl isobutyrate,peach@rose@pastry@tea@floral@bitter@fruity,True,113.0,{},
7707,3-Phenylpropanal,chocolate@cortex@clove@foliage@strawberry@fresh@green@honey@balsam@leaf@hyacinth@storax@cinnamon,True,586.0,{},
8842,Citronellol,waxy@bitter@citrus@rose@leather@geranium@floral@rose bud,True,168.0,{},
75515,S-Methyl hexanethioate,ethereal@tropical@fruity@green,True,360.0,{},
18698,Delta-Nonalactone,coconut@coumarin@milky@creamy@sweet,True,21.0,{},
61592,Ethyl 3-(methylthio)propionate,pineapple@tomato@sulfury@ripe@fruity@pulpy@metallic,True,12.0,{},
61386,Isoamyl laurate,peach@wine@brandy@waxy@oily@fatty@rum@beer,True,374.0,{},
12813,gamma-Decalactone,peach@coconut@caramel@fat@waxy@fresh@oily@fatty@sweet@fruity@strong@buttery,True,245.0,{},
1491,"2,4-dihydroxybenzoic acid",phenolic@mild,True,121.0,{},
7742,gamma-Heptalactone,coconut@caramel@nut@fat@hay@fruit@sweet@nutty@tonka,True,21.0,{},
7762,Ethyl Butyrate,apple@pineapple@banana@fruit@fruity@juicy@cognac,True,7.0,{},
445154,resveratrol,bitter,True,918.0,{},
7915,Isopropyl Acetate,ethereal@chemical@banana@sweet@fruity,True,643.0,{},
7848,1-Propanethiol,cabbage@onion@sweet@gassy@natural,True,175.0,{},
8792,Phenylethyl isovalerate,rose@peach@apricot@sweet@floral@bitter@fruity,True,113.0,{},
24115,Acetyl isobutyryl,fatty@sweet@creamy@fruity@buttery,True,130.0,{},
7460,Alpha-Phellandrene,mint@citrus@peppery@spice@herbal@turpentine@woody@terpene@green,True,346.0,{},
529496,2-Heptyl butanoate,vegetable@fruity@green,True,83.0,{},
5282708,trans-3-Hexenoic acid,,True,949.0,{},
